epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,37.0526,0.0,0.0,35.488615,0.0,0.0,0.9578,0.0,5.0,0.0125,177.64,1933,16311,76,2.0386,0.8903,0.8038,1.7463,0.4951,2.1283,,,,,,
2,37.160681,0.0,0.0,36.919321,0.0,0.0,0.9935,0.0,5.0,0.025,173.22,7805,16311,99,2.6891,1.1711,0.9708,2.1674,0.6019,2.6548,,,,,,
3,37.275195,0.0,0.0,36.978006,0.0,0.0,0.992,0.0,5.0,0.0375,173.3,7809,16311,98,3.3977,1.5821,1.1766,2.6629,0.7019,3.1609,,,,,,
4,37.264906,0.0,0.0,37.08214,0.0,0.0,0.9951,0.0,5.0,0.05,173.25,7809,16311,99,3.5239,1.6562,1.1999,2.6897,0.7126,3.164,,,,,,
5,37.284558,0.0,0.0,37.360171,0.0,0.0,1.002,0.0,5.0,0.0625,259.13,7809,16311,99,3.4074,1.5622,1.1979,2.6878,0.7223,3.2455,2.2831,0.5438,1.2774,1.4605,0.9667,2.1482
6,37.297871,0.0,0.0,37.526512,0.0,0.0,1.0061,0.0,5.0,0.075,173.28,7809,16311,99,3.4851,1.6474,1.1824,2.7496,0.7174,3.3042,,,,,,
7,37.372489,0.0,0.0,37.35047,0.0,0.0,0.9994,0.0,5.0,0.0875,173.31,7809,16311,99,3.388,1.5985,1.2232,2.8232,0.7456,3.4338,,,,,,
8,37.349845,0.0,0.0,37.851124,0.0,0.0,1.0134,0.0,5.0,0.1,173.22,7809,16311,99,3.3492,1.5749,1.1844,2.7144,0.7135,3.225,,,,,,
9,37.027662,0.0,0.0,37.964693,0.0,0.0,1.0253,0.0,5.0,0.1,173.33,7809,16311,99,3.4074,1.6335,1.1805,2.7229,0.731,3.349,,,,,,
10,36.660214,0.0,0.0,37.43495,0.0,0.0,1.0211,0.0,5.0,0.09999331,259.17,7809,16311,99,3.6404,1.78,1.264,3.0155,0.7824,3.6829,4.1733,1.033,2.4675,2.9026,1.8238,4.232
11,36.241333,0.0,0.0,36.393929,0.0,0.0,1.0042,0.0,5.0,0.09997323,173.28,7809,16311,99,3.6987,1.8051,1.3319,3.1415,0.8446,3.9572,,,,,,
12,35.979094,0.0,0.0,35.898621,0.0,0.0,0.9978,0.0,5.0,0.09993977,173.28,7809,16311,99,3.8831,1.9596,1.3824,3.3208,0.8688,4.0281,,,,,,
13,35.557529,0.0,0.0,35.804356,0.0,0.0,1.0069,0.0,5.0,0.09989295,173.25,7809,16311,99,3.9802,1.9754,1.4736,3.488,0.9368,4.1806,,,,,,
14,35.20688,0.0,0.0,35.591631,0.0,0.0,1.0109,0.0,5.0,0.09983276,173.31,7884,16311,99,4.0967,2.0891,1.4853,3.564,0.9378,4.3558,,,,,,
15,34.788701,0.0,0.0,35.317568,0.0,0.0,1.0152,0.0,5.0,0.09975924,259.02,7880,16311,99,4.2714,2.1945,1.5668,3.617,1.0028,4.438,8.7538,2.2058,4.6016,5.5013,3.3067,7.7396
16,34.38721,0.0,0.0,33.930776,0.0,0.0,0.9867,0.0,5.0,0.09967239,173.26,7883,16311,99,4.6306,2.4206,1.726,4.0159,1.0873,4.9021,,,,,,
17,33.973857,0.0,0.0,34.018776,0.0,0.0,1.0013,0.0,5.0,0.09957224,173.32,7809,16311,99,4.6694,2.3793,1.7726,4.1328,1.1358,5.0379,,,,,,
18,33.581665,0.0,0.0,33.110941,0.0,0.0,0.986,0.0,5.0,0.09945883,173.24,7809,16311,98,5.0189,2.5971,1.8542,4.3156,1.2038,5.3777,,,,,,
19,33.077084,0.0,0.0,34.280348,0.0,0.0,1.0364,0.0,5.0,0.09933217,173.32,7809,16311,99,4.65,2.4499,1.8814,4.3529,1.1911,5.2632,,,,,,
20,32.644086,0.0,0.0,35.209875,0.0,0.0097,1.0786,0.0,5.0,0.0991923,259.07,7809,16311,99,4.7568,2.5113,1.9513,4.513,1.2455,5.3734,13.9739,3.635,7.1089,8.5836,4.8845,11.3463
21,32.062968,0.0,0.0,32.984549,0.0,0.0194,1.0287,0.0,5.0,0.09903926,173.25,7805,16311,99,5.5529,2.7779,2.0872,4.7525,1.394,5.876,,,,,,
22,31.581429,0.0,0.0,31.347969,0.0097,0.068,0.9926,0.0,5.0,0.0988731,173.3,7809,16311,99,5.98,3.1656,2.3493,5.4662,1.5251,6.4882,,,,,,
23,30.959621,0.0,0.0048,31.299885,0.0097,0.0291,1.011,0.0001,5.0,0.09869385,173.27,7809,16311,99,5.912,3.0754,2.3338,5.3151,1.5581,6.643,,,,,,
24,30.264696,0.0,0.0096,31.007464,0.0097,0.0777,1.0245,0.0,5.0,0.09850156,173.27,7809,16311,99,6.145,3.1696,2.5667,5.6753,1.727,7.0504,,,,,,
25,29.57562,0.0024,0.0264,30.292971,0.0777,0.1747,1.0243,0.0002,5.0,0.09829629,259.01,7809,16311,99,6.5333,3.3794,2.7395,6.1301,1.826,7.5139,23.0032,6.1656,11.585,14.083,7.7826,18.0507
26,28.793314,0.0048,0.0287,30.882943,0.0582,0.1942,1.0726,0.0004,5.0,0.09807809,173.23,7809,16311,99,6.4848,3.2815,2.7046,5.9122,1.8105,7.2673,,,,,,
