epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,37.044408,0.0,0.0,35.502937,0.0,0.0,0.9584,0.0,5.0,0.0125,276.77,1830,16311,71,1.8639,0.7728,0.7456,1.5919,0.4737,2.1016,,,,,,
2,37.17216,0.0,0.0,36.316697,0.0,0.0,0.977,0.0,5.0,0.025,274.04,10513,16311,99,2.9512,1.3379,1.0562,2.3721,0.6465,2.8828,,,,,,
3,37.198324,0.0,0.0,36.93441,0.0,0.0,0.9929,0.0,5.0,0.0375,271.18,10511,16311,99,3.3686,1.5999,1.1358,2.6204,0.6902,3.0781,,,,,,
4,37.211133,0.0,0.0,37.037924,0.0,0.0,0.9953,0.0,5.0,0.05,271.01,10452,16311,99,3.5045,1.6548,1.1513,2.5803,0.6912,3.0891,,,,,,
5,37.25314,0.0,0.0,37.558857,0.0,0.0,1.0082,0.0,5.0,0.0625,384.82,10403,16311,99,3.4074,1.644,1.2038,2.8198,0.7126,3.283,2.2711,0.5455,1.3095,1.4863,1.0105,2.2641
6,37.291575,0.0,0.0,37.603356,0.0,0.0,1.0084,0.0,5.0,0.075,269.78,10391,16311,99,3.3783,1.6043,1.1436,2.6214,0.7038,3.1797,,,,,,
7,37.304235,0.0,0.0,38.366982,0.0,0.0,1.0285,0.0,5.0,0.0875,269.85,10375,16311,99,3.2424,1.6073,1.1086,2.6202,0.6912,3.1856,,,,,,
8,37.371635,0.0,0.0,37.482209,0.0,0.0,1.003,0.0,5.0,0.1,269.81,10375,16311,100,3.3977,1.6774,1.13,2.6369,0.7038,3.2171,,,,,,
9,36.974763,0.0,0.0,37.337027,0.0,0.0,1.0098,0.0,5.0,0.1,269.77,10375,16311,99,3.2812,1.6504,1.2038,2.8196,0.7456,3.4505,,,,,,
10,36.563506,0.0,0.0,37.791849,0.0,0.0,1.0336,0.0,5.0,0.09999331,383.18,10371,16311,100,3.7181,1.8293,1.3416,3.1731,0.8213,3.8106,4.3625,1.0762,2.4426,2.8847,1.8135,4.1876
11,36.149913,0.0,0.0,36.494705,0.0,0.0,1.0095,0.0,5.0,0.09997323,269.79,10371,16311,99,3.7763,1.8888,1.3843,3.3341,0.898,4.253,,,,,,
12,35.817777,0.0,0.0,36.119125,0.0,0.0,1.0084,0.0,5.0,0.09993977,271.83,10569,16311,99,3.9414,1.9899,1.4329,3.5424,0.8951,4.2136,,,,,,
13,35.376877,0.0,0.0,35.274368,0.0,0.0,0.9971,0.0,5.0,0.09989295,270.01,10431,16311,99,4.1258,2.0745,1.462,3.4558,0.9514,4.3381,,,,,,
14,34.95767,0.0,0.0,34.15411,0.0,0.0,0.977,0.0,5.0,0.09983276,269.85,10431,16311,100,4.3297,2.239,1.6484,3.9581,1.0154,4.6508,,,,,,
15,34.499844,0.0,0.0,34.823168,0.0,0.0,1.0094,0.0,5.0,0.09975924,383.2,10374,16311,99,4.3491,2.2439,1.6251,3.7905,1.0193,4.5722,9.7671,2.4931,5.1948,6.2785,3.6522,8.6245
16,34.051289,0.0,0.0,34.353568,0.0,0.0,1.0089,0.0,5.0,0.09967239,269.76,10368,16311,99,4.6792,2.3476,1.761,4.0227,1.1581,4.9353,,,,,,
17,33.562561,0.0,0.0,33.677052,0.0,0.0,1.0034,0.0,5.0,0.09957224,269.79,10367,16311,99,4.9121,2.502,1.8522,4.3382,1.1844,5.3075,,,,,,
18,33.055756,0.0,0.0,33.085528,0.0,0.0,1.0009,0.0,5.0,0.09945883,269.86,10351,16311,99,5.1257,2.6421,2.0289,4.5598,1.3542,5.718,,,,,,
19,32.495494,0.0,0.0,33.862858,0.0,0.0194,1.0421,0.0,5.0,0.09933217,269.85,10351,16311,100,5.4655,2.8237,2.0367,4.7991,1.3135,5.8215,,,,,,
20,31.949546,0.0,0.0,33.416334,0.0,0.0291,1.0459,0.0,5.0,0.0991923,383.1,10351,16311,99,5.4267,2.8033,2.1843,4.9456,1.4756,6.2163,16.3433,4.2438,8.3796,10.1004,5.6971,13.2599
21,31.326949,0.0,0.0024,32.400964,0.0,0.0194,1.0343,0.0,5.0,0.09903926,269.8,10351,16311,99,5.7567,2.9816,2.2425,5.1273,1.4727,6.1965,,,,,,
22,30.671254,0.0,0.0024,32.838934,0.0097,0.0582,1.0707,0.0,5.0,0.0988731,269.79,10351,16311,99,5.912,3.0935,2.3007,5.189,1.528,6.3206,,,,,,
23,29.971432,0.0,0.0072,30.086438,0.0097,0.1165,1.0038,0.0001,5.0,0.09869385,269.78,10351,16311,99,6.6304,3.4716,2.623,5.9878,1.761,7.3932,,,,,,
24,29.126966,0.0024,0.0264,29.38833,0.0291,0.1456,1.009,0.0002,5.0,0.09850156,269.79,10351,16311,99,7.009,3.6408,2.9881,6.5222,1.9979,7.9805,,,,,,
25,28.346501,0.0048,0.0407,28.341897,0.0485,0.3106,0.9998,0.0003,5.0,0.09829629,383.34,10346,16311,99,7.3391,3.8616,3.0444,6.7067,1.994,8.1067,26.3308,7.0726,13.2025,16.063,8.7231,20.2228
26,27.488066,0.012,0.0767,26.809228,0.0582,0.4466,0.9753,0.0005,5.0,0.09807809,269.84,10346,16311,67,7.9895,4.1234,3.3142,7.1987,2.2415,8.8693,,,,,,
27,26.635145,0.0192,0.1366,32.60739,0.0291,0.2621,1.2242,0.0002,5.0,0.09784702,269.81,10346,16311,76,6.5916,3.3162,2.7512,5.9168,1.8736,7.4771,,,,,,
28,25.918501,0.0383,0.218,28.224823,0.0485,0.398,1.089,0.0003,5.0,0.09760313,269.85,10346,16311,100,7.4847,3.9136,3.3181,7.1492,2.2231,8.825,,,,,,
29,25.246722,0.0503,0.3114,24.582614,0.1456,0.8057,0.9737,0.0012,5.0,0.09734651,269.85,10346,16311,99,8.8341,4.4854,3.7259,8.0833,2.5075,9.8984,,,,,,
30,24.53748,0.0527,0.424,28.343549,0.0485,0.4174,1.1551,0.0003,5.0,0.0970772,383.12,10346,16311,99,8.2031,4.277,3.5686,7.6395,2.4386,9.5618,30.2477,7.799,15.2326,17.5441,10.1976,22.1753
31,23.943816,0.0743,0.46,24.091321,0.2524,1.1649,1.0062,0.0017,5.0,0.0967953,269.87,10346,16311,99,8.902,4.6797,3.5938,7.9772,2.4231,9.842,,,,,,
32,23.389712,0.0934,0.575,25.720376,0.1553,0.7087,1.0996,0.0014,5.0,0.09650086,269.85,10346,16311,99,8.6399,4.4129,3.6909,7.8706,2.492,9.518,,,,,,
33,22.901336,0.1222,0.6708,23.104471,0.3786,1.3397,1.0089,0.0033,5.0,0.09619398,269.85,10346,16311,99,9.4748,5.0014,4.087,8.7784,2.7415,10.5378,,,,,,
34,22.383845,0.1437,0.8481,25.362571,0.3301,1.3688,1.1331,0.0025,5.0,0.09587472,269.86,10346,16311,99,8.4943,4.4841,3.7297,8.0137,2.5066,9.8065,,,,,,
35,22.074701,0.1893,0.896,22.740734,0.2718,0.9417,1.0302,0.0023,5.0,0.09554319,383.17,10346,16311,99,9.6107,5.0246,4.1666,8.9561,2.8512,11.219,37.1448,9.8738,19.2444,22.3617,12.7732,27.5347
36,21.619034,0.1797,1.0469,21.137871,0.466,2.0872,0.9777,0.0037,5.0,0.09519946,269.83,10346,16311,99,9.766,5.0766,4.4035,9.4004,3.0007,11.5355,,,,,,
