epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,8.919703,0.3044,0.8484,8.680982,0.5533,2.3007,0.9732,0.0002,5.0,0.0125,182.98,2290,16311,78,2.1745,0.975,0.8737,1.753,0.5766,2.2721,,,,,,
2,8.362812,0.6231,2.1161,7.961742,1.0679,3.3395,0.952,0.0006,5.0,0.025,180.52,7953,16311,100,2.2813,1.0385,0.9921,2.0938,0.6378,2.6376,,,,,,
3,7.710021,1.0233,3.5516,7.290715,1.7668,5.6596,0.9456,0.0029,5.0,0.0375,178.03,7866,16311,100,2.757,1.37,1.1358,2.475,0.7407,3.139,,,,,,
4,7.192793,1.5385,5.3226,6.789068,2.4367,8.1254,0.9439,0.0067,5.0,0.05,177.56,7866,16311,99,3.0385,1.518,1.2251,2.7527,0.7786,3.4036,,,,,,
5,6.779854,2.3749,7.6663,6.355419,3.6598,11.4067,0.9374,0.0144,5.0,0.0625,262.32,7810,16311,99,3.388,1.7269,1.2775,2.8357,0.8329,3.6631,4.5797,1.0018,2.6232,2.8216,1.9769,4.1904
6,6.484085,3.288,10.1347,6.587059,4.1744,12.4842,1.0159,0.0204,5.0,0.075,177.36,7806,16311,100,3.6307,1.8297,1.3377,3.0849,0.8921,3.9632,,,,,,
7,6.270053,4.1938,12.2795,6.047772,5.7761,16.3091,0.9645,0.0288,5.0,0.0875,177.29,7806,16311,100,3.8637,1.9231,1.528,3.4443,1.031,4.4945,,,,,,
8,6.096974,5.011,14.3645,5.920618,6.2227,17.1634,0.9711,0.0354,5.0,0.1,177.35,7800,16311,99,4.1744,2.1293,1.5785,3.7319,1.0504,4.6258,,,,,,
9,5.758312,6.7197,18.4576,5.39836,9.2321,23.9103,0.9375,0.0563,5.0,0.1,177.41,7800,16311,99,4.8054,2.3993,1.8309,4.2725,1.2067,5.2807,,,,,,
10,5.407775,8.8622,22.8456,5.258939,11.0281,26.6673,0.9725,0.0708,5.0,0.09999395,262.14,7783,16311,99,4.8733,2.4973,1.8911,4.4124,1.2436,5.4187,11.2203,2.7637,5.7674,6.6378,4.0548,9.1543
11,5.075566,11.2395,27.5666,4.722379,15.5228,33.7152,0.9304,0.1067,5.0,0.09997581,177.38,7783,16311,99,5.5334,2.9194,2.1066,4.8803,1.3445,5.9113,,,,,,
12,4.784431,13.715,32.1559,5.198377,13.6297,30.065,1.0865,0.1003,5.0,0.09994559,177.41,7783,16311,100,5.3587,2.8269,2.0852,4.9241,1.3329,5.981,,,,,,
13,4.533458,16.066,36.1867,4.526117,17.7167,37.8313,0.9984,0.1303,5.0,0.09990328,177.45,7783,16311,99,5.9412,3.0946,2.4095,5.4611,1.5882,6.684,,,,,,
14,4.311947,18.5032,40.1553,5.078608,16.1538,34.5306,1.1778,0.118,5.0,0.0998489,177.39,7783,16311,99,5.747,2.9741,2.2561,5.109,1.4688,6.2395,,,,,,
15,4.102889,20.902,43.5223,4.441311,19.9301,41.1222,1.0825,0.1553,5.0,0.09978247,262.03,7783,16311,99,6.2907,3.2835,2.5687,5.7157,1.6872,7.0082,18.8195,4.7393,9.3625,10.89,6.3509,14.2789
16,3.919535,23.0828,47.2944,4.903449,18.7166,37.1226,1.251,0.1512,5.0,0.09970399,177.38,7783,16311,99,6.5333,3.4,2.4949,5.6551,1.6367,6.9688,,,,,,
17,3.762295,25.2756,50.1246,4.157192,22.3279,45.2674,1.105,0.1756,5.0,0.09961349,177.42,7783,16311,99,6.8052,3.5054,2.6483,5.983,1.6998,7.2196,,,,,,
18,3.614254,27.025,52.7128,4.230564,22.5415,44.7821,1.1705,0.1842,5.0,0.099511,177.41,7783,16311,99,7.1255,3.7405,2.7628,6.2463,1.793,7.5697,,,,,,
19,3.474499,29.1771,55.3274,3.586627,28.6186,53.5967,1.0323,0.2316,5.0,0.09939652,177.34,7783,16311,100,7.6595,3.9949,3.1337,6.9552,2.0843,8.5807,,,,,,
20,3.345708,31.1613,57.7238,5.636852,14.9791,30.5893,1.6848,0.1204,5.0,0.0992701,262.04,7783,16311,99,5.9606,3.1475,2.4017,5.3837,1.5591,6.5177,18.611,4.8792,8.9503,10.7185,6.0089,13.7832
21,3.23728,32.592,59.5715,4.385746,24.7549,45.8014,1.3548,0.2048,5.0,0.09913176,177.45,7783,16311,100,7.3585,3.8814,2.9182,6.4917,1.8765,7.7603,,,,,,
22,3.131165,34.5571,61.7331,3.57941,31.0164,56.1887,1.1432,0.2611,5.0,0.09898154,177.33,7783,16311,100,8.0283,4.2233,3.1473,7.0348,2.0115,8.4682,,,,,,
23,3.027841,35.9111,63.3651,4.33026,23.9491,44.1219,1.4301,0.2,5.0,0.09881947,177.42,7783,16311,99,7.4944,3.8149,2.9939,6.5479,1.9367,7.7791,,,,,,
24,2.93939,37.3874,64.9252,3.296757,34.8024,60.5184,1.1216,0.2916,5.0,0.09864559,177.43,7783,16311,99,8.7564,4.5246,3.52,7.7313,2.2852,9.3542,,,,,,
25,2.836539,39.1224,66.6962,3.071448,37.54,63.188,1.0828,0.3149,5.0,0.09845995,262.16,7783,16311,100,8.97,4.6983,3.6754,8.0803,2.3949,9.785,31.0271,8.0335,15.2799,18.029,10.08,22.7041
26,2.766306,40.4333,68.067,4.690049,23.4832,44.0734,1.6954,0.1982,5.0,0.09826259,177.34,7783,16311,99,8.0381,4.1397,3.2249,6.9909,2.0581,8.2755,,,,,,
27,2.677225,41.991,69.5912,3.54692,32.6182,56.5576,1.3248,0.2768,5.0,0.09805355,177.41,7783,16311,99,8.9409,4.6861,3.6055,7.9599,2.3367,9.523,,,,,,
28,2.601931,43.4145,70.787,3.51103,35.2781,58.0817,1.3494,0.3038,5.0,0.09783289,177.44,7785,16311,100,8.6788,4.5283,3.4793,7.5345,2.2707,9.2067,,,,,,
29,2.547343,44.131,71.8966,2.885774,40.0738,66.7411,1.1329,0.3437,5.0,0.09760066,177.4,7786,16311,100,9.3874,4.9006,3.8676,8.3894,2.5706,10.1779,,,,,,
30,2.472436,45.6696,73.1475,3.153951,38.0837,62.9745,1.2756,0.3231,5.0,0.09735691,261.98,7786,16311,99,9.6884,5.066,3.8851,8.3611,2.5056,10.0319,32.604,8.5685,15.879,18.905,10.4323,23.5574
31,2.404719,46.319,74.0438,2.886922,41.1902,66.5761,1.2005,0.3491,5.0,0.09710171,177.35,7786,16311,100,9.8825,5.0859,3.988,8.5778,2.6211,10.4149,,,,,,
32,2.351598,48.0133,74.7508,2.646881,43.6462,70.498,1.1256,0.374,5.0,0.09683512,177.43,7786,16311,99,10.5233,5.5677,4.3083,9.3786,2.8211,11.2739,,,,,,
33,2.286642,49.0031,76.0065,2.716783,43.4133,69.5661,1.1881,0.3727,5.0,0.0965572,177.38,7786,16311,99,10.4359,5.423,4.2015,9.0423,2.7784,10.9243,,,,,,
34,2.242139,50.0479,76.8237,4.477265,25.8713,44.7821,1.9969,0.2216,5.0,0.09626802,177.42,7785,16311,100,7.6595,3.9811,3.1317,6.8884,1.993,8.1323,,,,,,
35,2.184281,50.9682,77.8854,2.647211,44.7821,70.1777,1.2119,0.3866,5.0,0.09596765,262.08,7785,16311,100,10.7368,5.5621,4.4326,9.4543,2.9453,11.5258,39.6017,10.2485,19.5078,22.5657,12.813,27.9504
36,2.129425,51.8453,78.5731,3.306104,36.8993,60.9747,1.5526,0.3195,5.0,0.09565616,177.28,7785,16311,99,9.5816,4.9508,3.6851,8.0971,2.3988,9.6295,,,,,,
37,2.069237,53.1226,79.5533,3.116643,39.501,63.1492,1.5062,0.3405,5.0,0.09533363,177.42,7785,16311,99,9.7757,5.2335,4.0579,8.7776,2.6696,10.6166,,,,,,
38,2.034409,53.6522,80.2267,3.608214,33.7637,57.2566,1.7736,0.2927,5.0,0.09500013,177.46,7785,16311,100,9.4651,4.915,3.8501,8.327,2.558,10.1819,,,,,,
39,2.003482,54.2202,80.6701,3.029559,39.7631,64.751,1.5121,0.3413,5.0,0.09465575,177.43,7785,16311,99,9.8825,5.1962,4.0734,8.7906,2.6444,10.4341,,,,,,
40,1.952075,55.5958,81.2141,3.095259,41.1708,64.916,1.5856,0.3642,5.0,0.09430057,262.17,7785,16311,99,10.397,5.4417,4.32,9.3527,2.8153,11.1924,38.2477,9.8755,19.015,21.8522,12.4559,26.9268
41,1.916508,56.0439,82.0552,3.435164,36.6469,59.9262,1.7924,0.322,5.0,0.09393467,177.38,7785,16311,99,9.8146,5.1081,3.9899,8.5882,2.5473,10.19,,,,,,
42,1.878193,56.7029,82.5105,3.174269,38.5788,63.5958,1.6901,0.3393,5.0,0.09355815,177.42,7785,16311,99,10.2417,5.3549,4.2695,9.06,2.8211,11.0779,,,,,,
43,1.82645,57.8676,83.3853,2.774172,43.7336,68.44,1.5189,0.3814,5.0,0.09317109,177.42,7785,16311,99,10.7659,5.6263,4.4753,9.4765,2.8473,11.1777,,,,,,
44,1.81029,58.5938,83.4979,2.497288,48.0148,73.3909,1.3795,0.4183,5.0,0.09277358,177.41,7785,16311,99,11.494,5.9942,4.9413,10.3496,3.3084,12.7055,,,,,,
45,1.763522,59.0179,84.4397,3.458544,37.2973,59.9456,1.9612,0.3364,5.0,0.09236574,262.09,7785,16311,100,9.8631,5.0687,3.9491,8.3969,2.5667,10.0045,35.6427,9.2781,17.3984,20.3095,11.3363,24.9552
46,1.736826,59.7944,84.5523,2.990437,42.4037,66.8479,1.7218,0.3706,5.0,0.09194764,177.4,7785,16311,100,10.7465,5.525,4.5568,9.5692,2.9395,11.4592,,,,,,
47,1.697686,60.6475,85.1658,2.759231,45.316,69.304,1.6253,0.3963,5.0,0.0915194,177.43,7785,16311,100,10.7659,5.5354,4.6442,9.7278,3.0075,11.6533,,,,,,
48,1.665727,61.3209,85.5589,2.588814,47.3935,71.7309,1.5542,0.4196,5.0,0.09108112,177.39,7785,16311,99,11.2319,5.8597,4.8131,10.2966,3.1259,12.3291,,,,,,
49,1.649923,61.412,85.9639,2.647381,46.0635,70.7698,1.6045,0.4072,5.0,0.0906329,177.49,7785,16311,99,10.8145,5.6077,4.5627,9.6509,2.956,11.7166,,,,,,
50,1.620275,62.6318,86.4312,3.533344,36.4431,59.1981,2.1807,0.3264,5.0,0.09017485,262.03,7785,16311,99,9.8437,5.1026,4.0714,8.822,2.6289,10.5751,36.4911,9.633,17.6414,20.8439,11.4877,25.531
51,1.592801,62.8523,86.7355,2.634036,47.51,71.3329,1.6537,0.4264,5.0,0.08970708,177.41,7785,16311,99,11.3678,5.9458,4.6131,9.9685,2.9618,11.9022,,,,,,
52,1.562689,63.727,86.98,2.897538,43.423,67.8187,1.8542,0.3811,5.0,0.08922971,177.4,7785,16311,99,10.8436,5.635,4.4889,9.674,2.8881,11.453,,,,,,
53,1.528494,64.4627,87.7013,2.119082,54.9073,79.07,1.3864,0.492,5.0,0.08874286,177.45,7785,16311,99,12.3774,6.4187,5.3859,11.4394,3.5181,13.8196,,,,,,
54,1.509778,64.4531,88.0009,2.077688,55.2956,79.4098,1.3762,0.4936,5.0,0.08824663,177.47,7785,16311,100,12.2318,6.5136,5.2209,10.9252,3.3929,13.2058,,,,,,
55,1.460113,65.7928,88.5113,2.422146,50.1213,74.5559,1.6589,0.4362,5.0,0.08774115,262.03,7785,16311,100,12.2318,6.3174,5.1277,10.8456,3.3249,12.891,45.8421,11.9133,23.3627,26.403,15.2598,32.1985
56,1.452795,65.9605,88.5065,2.436395,49.8981,73.7987,1.677,0.4446,5.0,0.08722654,177.35,7785,16311,99,11.8047,6.134,5.0403,10.7364,3.2676,12.7944,,,,,,
57,1.43578,66.0779,88.8708,2.321592,51.3834,76.1674,1.617,0.4542,5.0,0.08670293,177.47,7785,16311,100,11.9212,6.2459,5.1335,10.9076,3.355,13.0949,,,,,,
