epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,37.116018,0.0,0.0,36.13544,0.0,0.0,0.9736,0.0,5.0,0.0125,176.61,1194,16311,78,1.4659,0.6805,0.5689,1.28,0.3621,1.5739,,,,,,
2,37.734612,0.0,0.0,37.269367,0.0,0.0,0.9877,0.0,5.0,0.025,171.71,7139,16311,99,1.6406,0.6792,0.7339,1.4996,0.4834,1.9893,,,,,,
3,38.016067,0.0,0.0,37.870328,0.0,0.0,0.9962,0.0,5.0,0.0375,171.82,7139,16311,99,1.8639,0.8042,0.7999,1.6829,0.5368,2.2831,,,,,,
4,38.217609,0.0,0.0,38.418365,0.0,0.0,1.0053,0.0,5.0,0.05,171.85,7139,16311,99,1.7377,0.7466,0.732,1.5642,0.499,2.0199,,,,,,
5,38.381347,0.0,0.0,38.568701,0.0,0.0,1.0049,0.0,5.0,0.0625,256.06,7139,16311,99,1.7862,0.7911,0.7611,1.6084,0.5106,2.133,0.4168,0.0751,0.2947,0.2877,0.2561,0.4966
6,38.429664,0.0,0.0,38.605634,0.0,0.0,1.0046,0.0,5.0,0.075,171.84,7139,16311,100,1.6212,0.7074,0.7611,1.6641,0.5126,2.1469,,,,,,
7,38.509581,0.0,0.0,39.57163,0.0,0.0,1.0276,0.0,5.0,0.0875,171.87,7139,16311,100,1.8833,0.8449,0.7591,1.5877,0.5135,2.2079,,,,,,
8,38.601879,0.0,0.0,39.292627,0.0,0.0,1.0179,0.0,5.0,0.1,171.84,7139,16311,100,1.66,0.7306,0.7087,1.5081,0.4893,2.0816,,,,,,
9,38.438828,0.0,0.0,40.191967,0.0,0.0,1.0456,0.0,5.0,0.1,171.87,7139,16311,99,1.8639,0.814,0.7611,1.6726,0.5019,2.1512,,,,,,
10,38.254351,0.0,0.0,38.299849,0.0,0.0,1.0012,0.0,5.0,0.09999395,255.93,7139,16311,99,1.9901,0.9884,0.8543,1.9501,0.5495,2.3889,0.69,0.1294,0.5218,0.512,0.4312,0.8276
11,38.031059,0.0,0.0,39.370024,0.0,0.0,1.0352,0.0,5.0,0.09997581,171.83,7139,16311,99,2.1454,0.9822,0.9145,2.018,0.6048,2.5834,,,,,,
12,37.810387,0.0,0.0,38.591108,0.0,0.0,1.0206,0.0,5.0,0.09994559,171.89,7139,16311,100,2.2716,1.0925,0.9785,2.0519,0.6601,2.6425,,,,,,
