epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,35.518723,0.0,0.0,32.448336,0.0,0.0,0.9136,0.0,5.0,0.0125,564.03,2661,16311,100,9.4651,4.5978,4.0637,8.2044,2.7075,10.0158,,,,,,
2,31.833854,0.0,0.0024,29.299634,0.0291,0.068,0.9204,0.0,5.0,0.025,564.84,10265,16311,100,12.2221,6.2439,5.2189,10.7439,3.4385,12.8555,,,,,,
3,26.727413,0.0216,0.0839,27.117702,0.3495,0.7281,1.0146,0.0012,5.0,0.0375,577.52,3022,16311,100,13.2123,6.8183,5.8111,11.8479,3.8365,14.1938,,,,,,
4,23.141594,0.1773,0.4529,25.375172,0.864,1.5532,1.0965,0.0034,5.0,0.05,572.91,10539,16311,99,14.4258,7.5458,6.3101,12.9452,4.2083,15.6174,,,,,,
5,24.857125,0.2037,0.5464,23.843432,1.6115,3.4463,0.9592,0.0085,5.0,0.0625,779.26,10505,16311,100,15.1247,7.795,6.7236,13.705,4.3607,16.2381,52.5331,12.9623,29.6741,30.0093,20.0012,36.73
6,23.396014,0.4913,1.3348,23.082099,2.2619,4.7568,0.9866,0.0139,5.0,0.075,589.12,10552,16311,100,15.5519,8.147,7.0265,14.564,4.6238,17.1111,,,,,,
7,22.675423,0.7285,1.9843,22.66329,2.1648,4.8927,0.9995,0.0118,5.0,0.0875,557.61,10454,16311,100,16.2411,8.6315,7.3216,14.9581,4.7724,17.4303,,,,,,
8,22.465437,0.822,2.188,22.579803,2.4852,5.3781,1.0051,0.0156,5.0,0.1,557.27,10428,16311,100,15.9111,8.4099,7.1915,14.7242,4.7248,17.3016,,,,,,
9,21.657629,1.1887,3.0843,22.136071,2.6891,5.9315,1.0221,0.0172,5.0,0.1,557.38,10428,16311,100,16.5615,8.6718,7.5818,15.4882,4.9519,18.1382,,,,,,
10,20.947891,1.4547,3.8104,21.697086,2.592,6.0577,1.0358,0.0164,5.0,0.09997085,745.57,10432,16311,99,16.9207,8.8891,7.706,15.7961,5.0976,18.7286,60.0316,14.9186,35.9826,35.8795,24.6379,43.9414
11,20.336377,1.7398,4.6444,21.556155,2.8347,6.6304,1.06,0.0181,5.0,0.09988344,557.15,10433,16311,99,16.9401,8.9071,7.7895,15.9053,5.1073,18.5488,,,,,,
12,19.904815,2.0801,5.1956,20.981499,3.6016,8.2031,1.0541,0.0225,5.0,0.09973786,557.29,10428,16311,100,17.7653,9.3729,8.0672,16.4475,5.2742,19.2353,,,,,,
13,19.529327,2.4109,5.9912,20.741562,3.4851,7.8245,1.0621,0.0219,5.0,0.0995343,557.25,10391,16311,100,17.3284,9.1838,8.1274,16.3602,5.3509,19.3088,,,,,,
14,19.227603,2.5978,6.5184,20.775379,3.6598,8.0381,1.0805,0.0227,5.0,0.09927298,557.07,10391,16311,100,17.9594,9.6024,8.4011,16.9143,5.4956,19.6732,,,,,,
15,18.894645,2.8206,6.9162,20.840902,3.9122,8.339,1.103,0.0234,5.0,0.0989542,745.09,10397,16311,100,17.4352,9.2458,8.1837,16.5235,5.4344,19.4932,62.893,15.7599,38.7457,38.4922,26.7636,47.0341
16,18.718316,3.0315,7.4794,20.630369,4.0676,9.135,1.1021,0.0248,5.0,0.09857835,557.0,10391,16311,100,17.8915,9.4977,8.4924,16.9382,5.5868,19.8884,,,,,,
17,18.516991,3.1298,7.7766,20.268906,4.2035,9.3098,1.0946,0.0254,5.0,0.09814586,557.13,10391,16311,100,18.2992,9.6443,8.6225,17.2878,5.7325,20.3448,,,,,,
18,18.344758,3.3191,8.1169,20.319854,4.2229,8.97,1.1077,0.0262,5.0,0.09765724,557.16,10391,16311,100,18.2312,9.6511,8.5992,17.1781,5.7082,20.2668,,,,,,
19,18.121972,3.7002,9.0203,20.393724,4.2617,9.0574,1.1254,0.0269,5.0,0.09711305,557.13,10391,16311,100,18.3574,9.7849,8.5137,17.067,5.6888,20.2277,,,,,,
20,17.957971,3.7625,9.0754,20.505462,4.1355,9.0282,1.1419,0.0236,5.0,0.09651392,745.22,10391,16311,100,18.3477,9.7501,8.6205,17.1071,5.7587,20.2488,66.1666,16.4964,41.8012,40.8128,29.1636,50.1129
21,17.865766,3.8104,9.0946,20.121988,4.3685,9.601,1.1263,0.0273,5.0,0.09586057,556.95,10396,16311,100,18.4157,9.8595,8.7603,17.4682,5.7917,20.4212,,,,,,
22,17.73816,3.8679,9.3247,20.267686,4.2035,9.1933,1.1426,0.0256,5.0,0.09515374,556.92,10395,16311,100,18.3283,9.6471,8.6924,17.3101,5.7761,20.3671,,,,,,
23,17.572469,4.0644,9.804,20.826092,3.3589,7.7468,1.1852,0.0213,5.0,0.09439426,556.91,10391,16311,100,18.2507,9.6406,8.6962,17.1157,5.7198,20.1749,,,,,,
24,17.483486,4.1603,9.8088,20.387547,3.9705,9.1836,1.1661,0.0227,5.0,0.09358302,556.98,10391,16311,100,18.1147,9.6297,8.6477,17.2702,5.7383,20.2638,,,,,,
25,17.367592,4.4095,10.2569,20.201478,4.087,8.9894,1.1632,0.0239,5.0,0.09272097,744.94,10391,16311,100,18.1827,9.5551,8.671,17.1118,5.746,20.1194,66.8879,16.8432,42.2915,41.4962,29.5418,50.9209
26,17.210962,4.5653,10.5469,20.163076,4.3685,9.5913,1.1715,0.0277,5.0,0.09180911,556.74,10395,16311,100,18.5419,9.8443,8.8302,17.5079,5.8606,20.4578,,,,,,
27,17.08439,4.5126,10.8057,20.444189,4.1355,9.2224,1.1967,0.0232,5.0,0.09084849,556.92,10396,16311,100,18.5128,9.8063,8.6632,17.2346,5.7771,20.2382,,,,,,
28,16.99474,4.769,11.0262,20.54318,4.2908,9.0574,1.2088,0.0245,5.0,0.08984026,556.98,10395,16311,100,18.338,9.7822,8.7972,17.4049,5.8635,20.4439,,,,,,
29,16.828983,5.0206,11.4456,20.123782,4.1452,9.3098,1.1958,0.0264,5.0,0.08878556,556.8,10391,16311,100,18.4448,9.8078,8.6555,17.3331,5.6839,20.2004,,,,,,
