epoch,train_loss,train_acc_top1,train_acc_top5,val_loss,val_acc_top1,val_acc_top5,loss_ratio,val_f1,grad_norm,lr_head,time_sec,gpu_mem_used,gpu_mem_total,gpu_util,val_p@1,val_r@1,val_p@5,val_r@5,val_p@10,val_r@10,train_p@1,train_r@1,train_p@5,train_r@5,train_p@10,train_r@10
1,35.262481,0.0,0.0,31.842651,0.0,0.0,0.903,0.0,5.0,0.0125,556.39,2452,16311,100,9.0962,4.5776,3.8987,8.1313,2.6017,9.9966,,,,,,
2,31.008602,0.0,0.0024,27.863567,0.068,0.1262,0.8986,0.0002,5.0,0.025,555.66,9960,16311,100,12.3774,6.4782,5.2636,11.0678,3.4385,13.2547,,,,,,
3,27.033814,0.0431,0.1174,24.445672,0.7863,1.6406,0.9043,0.0044,5.0,0.0375,555.59,9949,16311,100,13.7074,7.2504,5.9082,12.4138,3.9084,15.0876,,,,,,
4,23.841859,0.2804,0.7165,21.90253,2.0289,4.5335,0.9187,0.0148,5.0,0.05,555.74,9951,16311,100,15.183,8.2028,6.7061,14.1393,4.3811,16.8458,,,,,,
5,21.680568,0.7669,2.0226,20.193778,3.9414,8.1157,0.9314,0.0297,5.0,0.0625,743.34,9951,16311,100,16.0955,8.5893,7.1993,15.0037,4.6937,17.7076,63.8564,16.776,36.3507,38.6666,24.1131,46.0677
6,20.538574,1.2941,3.4773,19.629218,4.6306,9.5331,0.9557,0.0363,5.0,0.075,555.16,9951,16311,100,16.445,8.8474,7.3954,15.3912,4.8034,17.9323,,,,,,
7,19.926968,1.7255,4.5245,19.618362,4.417,9.135,0.9845,0.0328,5.0,0.0875,555.19,9940,16311,100,17.0954,9.1832,7.642,15.9846,4.9898,18.6552,,,,,,
8,19.845313,1.9316,4.9056,19.72648,4.087,9.3001,0.994,0.032,5.0,0.1,555.1,9941,16311,100,16.7751,9.0859,7.5216,15.7991,4.8209,18.2667,,,,,,
9,19.091329,2.4516,6.1901,19.132852,5.116,10.7271,1.0022,0.0392,5.0,0.1,554.99,9935,16311,100,17.6196,9.569,7.9507,16.4794,5.1267,19.0805,,,,,,
10,18.391288,3.1274,7.5273,18.839581,5.4461,11.2319,1.0244,0.0423,5.0,0.09999395,742.58,9939,16311,95,18.1633,9.7636,8.1099,16.8121,5.2684,19.4953,70.1304,18.362,42.4559,43.8447,28.7445,52.4141
11,17.75636,3.772,8.7831,18.716054,5.3878,11.4455,1.054,0.0417,5.0,0.09997581,554.8,9939,16311,100,18.008,9.8476,7.9371,16.6256,5.1199,19.1905,,,,,,
12,17.370374,4.2633,9.895,17.592047,7.009,14.3384,1.0128,0.055,5.0,0.09994559,554.81,9939,16311,100,18.6584,10.1629,8.5196,17.678,5.5072,20.2463,,,,,,
13,16.974078,4.8409,11.1029,18.25324,5.9315,11.96,1.0754,0.0456,5.0,0.09990328,555.23,9945,16311,100,18.4642,10.0034,8.3468,17.0116,5.4723,19.8826,,,,,,
14,16.694284,5.1332,11.5989,17.524562,6.8246,14.5229,1.0497,0.0522,5.0,0.0998489,555.62,9955,16311,100,19.0952,10.4245,8.706,17.6585,5.7402,20.6254,,,,,,
15,16.436607,5.4664,12.3706,17.56768,7.0382,14.4549,1.0688,0.0525,5.0,0.09978247,742.15,9950,16311,100,18.6487,10.2327,8.5817,17.4714,5.6237,20.3045,74.2283,19.5638,46.0861,47.1677,31.3823,56.4076
16,16.279083,5.6677,12.8691,17.621495,7.1352,14.0666,1.0825,0.0545,5.0,0.09970399,554.54,9927,16311,100,19.6583,10.704,8.9059,18.1654,5.7684,20.8168,,,,,,
17,16.067273,6.0655,13.3939,17.47908,6.9605,14.387,1.0879,0.052,5.0,0.09961349,554.73,9927,16311,100,19.3088,10.5139,8.8263,17.9689,5.8091,20.8136,,,,,,
18,15.902507,6.3554,13.7869,17.335009,6.9508,14.5229,1.0901,0.0511,5.0,0.099511,554.77,9927,16311,100,19.1923,10.5123,8.8535,17.9403,5.8062,20.9162,,,,,,
19,15.769314,6.3171,14.1895,17.186813,7.1644,15.3092,1.0899,0.0549,5.0,0.09939652,554.54,9927,16311,100,19.7748,10.7479,8.8904,18.0453,5.8431,20.8437,,,,,,
20,15.583585,6.5687,14.8629,17.070712,7.2129,15.9402,1.0954,0.0551,5.0,0.0992701,741.89,9927,16311,100,19.0564,10.4022,8.6904,17.6536,5.6907,20.2499,76.0568,19.8673,48.091,48.7032,33.0895,58.5371
21,15.596263,6.6742,14.664,17.688556,6.6401,13.7948,1.1342,0.0511,5.0,0.09913176,554.49,9927,16311,100,19.1438,10.4385,8.8069,18.0194,5.7781,20.9527,,,,,,
22,15.540785,6.8419,14.8965,17.729141,6.446,13.523,1.1408,0.0463,5.0,0.09898154,554.55,9927,16311,99,19.9495,10.8256,9.1195,18.4639,5.9917,21.3072,,,,,,
23,15.438587,6.9809,15.105,17.640629,6.145,13.6686,1.1426,0.0432,5.0,0.09881947,554.59,9927,16311,100,20.066,10.8935,9.2127,18.5938,6.0004,21.3639,,,,,,
24,15.373037,7.0576,15.522,17.140767,7.1158,15.3577,1.115,0.0536,5.0,0.09864559,554.73,9927,16311,100,19.27,10.4363,8.8555,17.9398,5.8295,20.8254,,,,,,
25,15.332582,7.1702,15.613,17.573183,6.2421,13.5909,1.1461,0.0445,5.0,0.09845995,742.1,9927,16311,99,19.1632,10.3648,8.8749,17.9714,5.8606,20.7412,76.1527,20.0566,48.4931,49.1327,33.4464,59.0253
26,15.268271,7.0864,15.5675,17.037783,7.1255,15.1927,1.1159,0.0547,5.0,0.09826259,554.45,9927,16311,100,20.0854,10.9147,9.1952,18.6333,6.0363,21.5547,,,,,,
27,15.257911,7.1726,15.7161,16.935006,7.5332,15.9887,1.1099,0.0568,5.0,0.09805355,554.62,9927,16311,100,19.6874,10.7776,8.9486,18.1348,5.9295,21.1456,,,,,,
28,15.24735,7.0888,15.7376,17.924544,5.4267,12.3289,1.1756,0.0399,5.0,0.09783289,554.42,9927,16311,99,19.0661,10.2553,8.7953,17.8268,5.6985,20.443,,,,,,
29,15.164914,7.1535,15.6849,17.670145,6.4266,13.6006,1.1652,0.0455,5.0,0.09760066,554.45,9927,16311,100,19.5903,10.7315,8.9409,18.1358,5.8528,20.9972,,,,,,
30,15.107641,7.5225,16.4302,17.677023,6.0965,13.523,1.1701,0.0442,5.0,0.09735691,741.93,9927,16311,100,19.6777,10.6586,9.0826,18.153,5.9732,21.0304,77.5738,20.4316,50.0518,50.3294,34.8167,60.5828
31,15.086194,7.2997,16.1043,17.531055,5.8247,13.4356,1.1621,0.0418,5.0,0.09710171,554.32,9927,16311,100,19.5612,10.5064,9.0224,18.0563,5.9887,21.0597,,,,,,
32,15.129225,7.1199,16.0204,17.6108,6.1256,13.3968,1.164,0.0427,5.0,0.09683512,554.58,9927,16311,100,19.5224,10.5697,9.0554,18.1316,5.9936,21.1448,,,,,,
33,15.083049,7.3692,16.3152,17.625741,5.5626,12.6784,1.1686,0.04,5.0,0.0965572,554.39,9927,16311,100,19.2603,10.4993,8.8846,17.9583,5.8955,20.9144,,,,,,
34,15.068994,7.3452,16.1115,17.858674,5.3102,12.2221,1.1851,0.0382,5.0,0.09626802,554.46,9927,16311,100,18.6778,10.1084,8.5118,17.2054,5.6509,20.1526,,,,,,
35,15.066823,7.3068,15.9629,18.092404,5.1645,12.028,1.2008,0.038,5.0,0.09596765,741.74,9927,16311,100,19.1535,10.3559,8.8477,17.8332,5.7926,20.685,76.4115,20.0644,49.0889,49.3194,33.9942,59.3128
36,15.055534,7.2709,16.1954,17.662823,6.0868,13.2414,1.1732,0.0434,5.0,0.09565616,555.87,10001,16311,99,19.2991,10.4049,9.0321,17.8557,6.0014,21.0031,,,,,,
